"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"60_GAMMAN1_1",32,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_2",21.33,0,0,0,0,0,0,0,0,0,4
"60_GAMMAN1_3",37.33,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_4",18.67,0,0,0,0,0,1.33,0,0,0,0
"60_GAMMAN1_5",42.66,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_6",83.99,0,0,0,0,0,0,0,0,0,5.33
"60_GAMMAN1_7",53.33,0,0,0,0,0,0,0,0,0,2.67
"60_GAMMAN1_8",37.33,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_9",13.33,0,0,0,0,1.33,1.33,0,0,0,5.33
"60_GAMMAN1_10",42.66,0,0,0,0,0,0,1.33,0,0,1.33
"60_GAMMAN1_11",41.33,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_12",56,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_13",68,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_14",24,0,0,0,0,0,0,0,0,0,4
"60_GAMMAN1_15",34.67,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_16",21.33,0,0,0,0,0,0,0,0,0,0
"60_GAMMAN1_17",13.33,0,0,0,0,0,1.33,0,0,0,0
"60_GAMMAN1_18",68,0,0,0,0,0,0,0,0,0,4
"60_GAMMAN1_19",36,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_20",28,0,0,0,0,2.67,0,0,0,1.33,2.67
"60_GAMMAN1_21",33.32,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_22",37.32,0,0,0,0,0,0,0,0,0,1.33
"60_GAMMAN1_23",29.33,0,0,0,0,0,2.67,2.67,0,0,4
"60_GAMMAN1_24",42.66,0,0,0,0,0,0,0,0,0,4
"60_GAMMAN1_25",50.67,0,0,0,0,0,0,0,0,0,5.33
"60_GAMMAN1_26",14.66,0,0,0,0,0,0,0,0,0,2.67
"60_GAMMAN1_27",25.33,0,0,0,0,0,0,0,0,0,0
